id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000997,Three-color-glazed camel with musicians,"A ceramic camel carries four bearded men, some with instruments",ArtStor NYU/IFA Digital Collections,Unknown,"Ceramic camel carrying four bearded men, some with instruments",CE 750,"Institute of Archaeology, Chinese Academy of Social Science, Beijing, China","Xi'an, China","East Asian, Chinese, Tang Dynasty",ceramic,H. 66.4 cm,ArtStor NYU/IFA Digital Collections,"8th Century CE, Tang Dynasty","funerary objecy, camel",,Ceramics
000998,Thunderbird Transformation Mask,"Seen in profile, a painted wooden bird's head shows a large hooked beak, an eye and an eyebrow above it.",CC BY-SA 3.0 © 2004–2015 the Brooklyn Museum,Unknown,A painted wooden bird's head in profile shows a hooked beak and an eye.,CE 1850,"Brooklyn Museum, New York, USA","Alert Bay, Vancouver Island, British Columbia, Canada","North American, Canadian, Kwakwaka'wakw","cedar, pigment, leather, nails, metal plate",Open: 78.7 x 114.3 x 119.4 cm; Closed: 52.1 x 43.2 x 74.9 cm,CC BY-SA 3.0 © 2004–2015 the Brooklyn Museum,19th Century CE,Kwakwaka'wakw,,Sculpture
000999,Tile Panel in the form of an Architectural Niche,"Three square ceramic tiles are joined to form a rectangle that shows in relief a trilobed arch with a vase-shaped object hanging from the center of the arch. All raised surfaces are turquoise or darker shades of blue, contrasting the flat neutral-colored ground. Arabic script covers the spaces between the arch's posts, and runs parallel to the sides and top of the frame. ",CC 1.0 Universal Public Domain,Hasan ibn `Ali ibn Ahmad Babavaih,A tile panel with Arabic calligraphy,CE 1300,"The Metropolitan Museum of Art, New York, NY, USA","Kashan, Iran ","Middle Eastern, Iranian, Muslim, Persian","stonepaste; inglaze painted in blue, luster-painted on opaque white glaze, modeled",123.2 x 59.7 cm,CC 1.0 Universal Public Domain,14th Century CE,Arabic calligraphy,,Ceramics
001000,Tintoretto: Finding the Body of St. Mark,"This painting takes place in a cathedral with dramatic perspective drawing the eye to the background where figures remove a stone from the floor, revealing a luminous cavern beneath. In the foreground left, four figures are variously posed. From left to right, a standing saintly figure wearing brightly illuminated red and blue robes gestures dramatically to the background, on the floor lays a naked dead man, foreshortened, drawing the eye from the feet to the head. Behind him a kneeling man brings his hands to his face in grief. To the right is a kneeling bearded man in golden robes, arms outstretched. In the foreground right moving to the back are figures removing bodies from tombs in the wall. ",Public Domain,Jacopo Tintoretto,People surround St. Mark's body in a crypt,CE 1562-1566,"Pinacoteca de Brera, Milan, Italy","Venice, Italy","Southern European, Italian, Mannerism",oil on canvas,405 x 405 cm,Public Domain,"16th Century CE, Mannerism",St Mark,,Painting
001001,Tintoretto: Miracle of the Slave,"In a plaza, many figures observe a naked man laying on the ground. Broken tools lay around him. At the center top is a flying man, upside down, dressed in gold and pink robes and holding a book.",Public Domain,Jacopo Tintoretto,Onlookers strain to watch in a town square as St. Mark performs a miracle,CE 1588,"Gallerie Dell’Accademia, Venice, Italy","Venice, Italy","Southern European, Italian, Mannerism",oil on canvas,416 x 544 cm,Public Domain,"16th Century CE, Mannerism",St Mark,,Painting
001002,Tintoretto: Susanna and the Elders,A naked woman prepares her bath as two elderly men watch from behind a trellis. ,Public Domain,Jacopo Tintoretto,Two men watch a woman prepare for a bath.,CE 1555-1556,"Kunsthistorisches Museum, Vienna, Austria","Venice, Italy","Southern European, Italian, Mannerism",oil on canvas,146 x 194 cm,Public Domain,"16th Century CE, Mannerism",biblical story,,Painting
001003,Tintoretto: The Last Supper,"In a dark room, Jesus and the Apostles sit at a table as servants bustle around them. The scene is lit by one lamp and the aureola surrounding Jesus’s head. A group of angels hovers near the ceiling. ",Public Domain,Jacopo Tintoretto,A painting depicting the story of the Last Supper in Tintoretto’s distinctive style.,CE 1592-1594,"Basilica di San Giorgio Maggiore, Venice, Italy","Venice, Italy","Southern European, Italian, Mannerism",oil on canvas,365 x 568 cm,Public Domain,"16th Century CE, Mannerism",biblical story,,Painting
001004,Titian: Bacchus and Ariadne,"Here is an oil painting showing the god Bacchus, followed by a retinue of Bacchantes and Satyrs, leaping from his chariot to comfort Ariadne.",Public Domain,Titian,"Oil painting showing the god Bacchus, followed by a retinue of Bacchantes and Satyrs, leaping from his chariot to comfort Ariadne.",CE 1520-1523,"National Gallery, London, UK","Ferrara, Italy","Southern European, Italian, Italian Renaissance",oil on canvas,176.5 x 191 cm,Public Domain,"16th Century CE, Italian Renaissance","Greek mythology, Roman mythology",,Painting
001005,Titian: Danaë,"This oil painting shows a reclining nude woman under a cloud of falling gold coins, some of which a servant catches in a gold dish.",Public Domain © KHM Museums Association,Titian,"Oil painting showing a reclining nude woman under a cloud of falling gold coins, some of which a servant catches in a gold dish.",CE 1564,"Kunsthistorisches Museum, Vienna","Venice, Italy","Southern European, Italian, Italian Renaissance",color on canvas,135 x 152 cm,Public Domain © KHM Museums Association,"16th Century CE, Italian Renaissance",Greek mythology,,Painting
001006,Titian: Madonna of the Pesaro Family,"This oil painting is of the Madonna and child on a stairway in a painted architectural setting, flanked by Saints Peter and Francis and members of the Pesaro family.",CC BY-SA 4.0 Titian ,Titian,"Oil painting of the Madonna and Child on a stairway, flanked by Saints Peter and Francis and members of the Pesaro family.",CE 1519-1526,"Santa Maria Gloriosa dei Frari, Venice, Italy","Venice, Italy","Southern European, Italian, Italian Renaissance",oil on canvas,478 x 268 cm,CC BY-SA 4.0 Titian ,"16th Century CE, Italian Renaissance","St Mary, Jesus",,Painting
001007,Titian: Portrait of Filippo Archinto,"This oil painting shows the archbishop Filippo Archinto as an elderly man with a long white beard, holding a book in one hand.",CC 1.0 Universal Public Domain,Titian,"Oil Painting showing the archbishop Filippo Archinto as an elderly man with a long white beard, holding a book in one hand.",CE 1553-1558,"The Metropolitan Museum of Art, New York, NY, USA","Venice, Italy","Southern European, Italian, Italian Renaissance",oil on canvas,118 x 94 cm,CC 1.0 Universal Public Domain,"16th Century CE, Italian Renaissance",portriat,,Painting
001008,Titian: The Assumption of the Virgin,"This oil painting depicts the bodily assumption of the Virgin Mary into heaven, accompanied by cherubs, as the Apostles watch in wonder from below",Public Domain,Titian,"Oil painting depicting the assumption of the Virgin Mary into heaven, accompanied by cherubs; the Apostles watch in wonder.",CE 1516-1518,"Santa Maria Gloriosa dei Frari, Venice, Italy","Venice, Italy","Southern European, Italian, Italian Renaissance",oil on panel,690 x 360 cm,Public Domain,"16th Century CE, Italian Renaissance","St Mary, Assumption",,Painting
001009,Titian: The Rape of Europa,"This oil painting shows Jupiter, in the form of a white bull, bearing the terrified Europa off to sea on his back.",Public Domain,Titian,Oil painting showing Jupiter in the form of a white bull bearing the terrified Europa off to sea on his back.,CE 1560-1562,"Isabella Stewart Gardner Museum, Boston, MA, USA","Venice, Italy ","Southern European, Italian, Italian Renaissance",oil on canvas,178 x 205 cm,Public Domain,"16th Century CE, Italian Renaissance",Greek mythology,,Painting
001010,Titian: Venus of Urbino,This oil painting shows a reclining nude woman in the foreground and two maids bending over a chest in the background.,Public Domain,Titian,Oil painting showing a reclining nude woman in the foreground and two maids bending over a chest in the background.,CE 1534,"Uffizi Gallery, Florence, Italy","Venice, Italy","Southern European, Italian, Italian Renaissance",oil on canvas,119 x 165 cm,Public Domain,"16th Century CE, Italian Renaissance",nude,,Painting
001011,"Tlaltecuhtli, Aztec Earth Goddess, Museo de Templo Mayor","A squatting figure faces the viewer of this monolithic carved stone sculpture. An elaborate headpiece sits atop a snarling face, framed on either side by two large ears, ear-spools, and dangling earrings, and two raised arms. Instead of fingers there are claws. A wavy line at the open, toothy, mouth extends down to the neck and chest. Snail-shaped carvings ornament the wrists and elbows. The torso is missing. The squatting legs are spread wide, and between them are five registers of hieroglyphs, abstract repeating design motifs, and skulls. There are claws instead of toes, and skulls in profile cap each knee.",CC BY-SA 4.0 Citlaltec,Unknown,"A massive squatting figure is carved in stone, with a snarling expression on its face. Claws instead of toes are on the feet, and skulls adorn each knee.",CE 1502,"Templo Mayor, Mexico City, Mexico","Templo Mayor, Mexico City, Mexico","North American, Mexican, Mesoamerican, Aztec",stone,4 x 3.5 m,CC BY-SA 4.0 Citlaltec,16th Century CE,Aztec deity,carved,Sculpture
001012,Togatus Barberini,A carved marble statue of a balding man wearing a toga that drapes from his shoulders to his sandaled feet. In his left hand he holds a marble carving of a man’s head. On his right stands a pillar decorated like a palm tree topped by carving of another man’s head. The standing figure wraps his right arm around it.,Artstor Institute of Fine Arts/NYU Digital Collections,Unknown,"A carved marble statue of a balding man wearing a toga, holding a marble carving of a man's head.",CE 50-75,"Centrale Montemartini, Rome (formerly Capitoline Museum)","Unknown, probably Rome","Ancient Roman, Imperial Roman",marble (Pentelic),1.65 m,Artstor Institute of Fine Arts/NYU Digital Collections,"1st Century CE, Imperial Rome",Roman senator,,Sculpture
001013,Toltec Colossal Atlantids at Tula in Mexico,"Four square columns of carved stone show identical warrior figures standing upright, wearing round feather-shaped headpieces. Their stern faces show oval eyes under arched brows, flat noses, and open mouths with teeth visible. Each wears a breastplate of a stylized butterfly shape, symbol of the Toltecs. A belted patterned garment covers their waists, and a loincloth with patterns ends at the thigh. Legs are bare except a patterned calf-band and ankle-band. On each side the warriors clutch a bundle of darts in one hand and an atlatl, a typical weapon of highland Mexico, in the other. In front of the row of four Toltec warriors is a row of three round pedestals, each carved with patterns that probably upheld other columns that are now missing.",CC BY-SA 3.0 original by Alejandro Linares Garcia,Unknown,Five massive columns stand in an outdoor setting. They are carved as warriors. ,CE 900-1180,"Tula, Mexico","Tula, Mexico","North American, Mexican, Mesoamerican, Toltec",stone,4.9 m high,CC BY-SA 3.0 original by Alejandro Linares Garcia,10-12th Century CE,warriors,carved,Architecture
001014,Tomb Effigy of Jean D’Aluye ,"This tomb sculpture of a crusader knight lies bare-headed, hands together in prayer at his chest. A sword and shield lie over him, partially covering his left side. At his feet rests a small sculpture of a lion.",CC 1.0 Universal Public Domain,Unknown,Tomb sculpture of a knight lying with hands together in prayer at his chest. A sword and shield lie over him; a small lion rests at his feet.,CE 1248-1267,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA","Loire Valley, France","Northern and Western European, French, Christendom, Gothic",limestone,"33 x 85.1 x 212.1 cm, 543 kg",CC 1.0 Universal Public Domain,"13th Century CE, Gothic",knight,,Sculpture
001015,Tomb of Khnumhotep II,Carved out of rocky cliff is a shallow porch with two columns supporting a lintel. A contemporary iron spiked fence spans entrance.,GNU Free Documentation License Roland Unger,Unknown,Carved out of rocky cliff is a shallow porch with two columns supporting a lintel. ,BCE 1900-1880 ca. ,"Beni Hasan, Egypt","Beni Hasan burial site, Egypt","Ancient Egyptian, Middle Kingdom",,,GNU Free Documentation License Roland Unger,"2nd Millennium BCE, Middle Kingdom, Dynasty 12",Khnumhotep II,,Architecture
